Subject,Hours_Studied,Attendance,Internal_Score,Exam_Score
Linux,1.5,90,85,88
Mathematics,2.0,80,70,50
Machine Learning,1.0,95,90,70
Python,3.0,98,92,85
Data Structures,2.5,85,88,78
Databases,1.0,75,65,60
Networking,2.0,88,80,72
Algorithms,2.5,92,89,80
Operating Systems,1.5,80,75,68
Software Engineering,3.0,95,95,90
Web Development,2.0,85,78,74
Cyber Security,1.0,70,60,55
Cloud Computing,2.5,90,88,82
Artificial Intelligence,3.0,93,91,87
Mobile Development,1.5,88,77,69
Human-Computer Interaction,2.0,82,73,66
Data Science,2.5,94,90,84
Computer Graphics,1.0,78,68,62
Embedded Systems,2.0,86,79,73
Parallel Computing,1.5,89,81,75
Software Testing,2.0,91,84,79
Information Retrieval,1.0,77,67,61
Digital Logic Design,2.5,83,76,70
Compiler Design,3.0,92,90,85
Artificial Neural Networks,2.0,88,82,76
Quantum Computing,1.5,80,70,65
Bioinformatics,2.0,87,78,71
Game Development,2.5,90,85,80
Virtual Reality,1.0,75,65,58
Augmented Reality,2.0,84,77,69
